prefecture,municipality,url,system_type,kaigiroku_tenant
栃木県,鹿沼市議会,http://www.kensakusystem.jp/kanuma-c/index.html,kensakusystem,
栃木県,日光市議会,https://ssp.kaigiroku.net/tenant/nikko/SpMinuteSearch.html,kaigiroku_ssp,nikko
栃木県,小山市議会,https://ssp.kaigiroku.net/tenant/oyama/MinuteSearch.html,kaigiroku_ssp,oyama
栃木県,小山市議会,https://ssp.kaigiroku.net/tenant/oyama/SpMinuteSearch.html,kaigiroku_ssp,oyama
栃木県,真岡市議会,https://ssp.kaigiroku.net/tenant/moka/MinuteSearch.html,kaigiroku_ssp,moka
栃木県,真岡市議会,https://ssp.kaigiroku.net/tenant/moka/SpMinuteSearch.html,kaigiroku_ssp,moka
栃木県,大田原市議会,https://ssp.kaigiroku.net/tenant/ohtawara/MinuteSearch.html,kaigiroku_ssp,ohtawara
栃木県,大田原市議会,https://ssp.kaigiroku.net/tenant/ohtawara/SpMinuteSearch.html,kaigiroku_ssp,ohtawara
栃木県,矢板市議会,https://ssp.kaigiroku.net/tenant/yaita/SpMinuteSearch.html,kaigiroku_ssp,yaita
栃木県,那須塩原市議会,https://ssp.kaigiroku.net/tenant/nasushiobara/SpMinuteSearch.html,kaigiroku_ssp,nasushiobara
栃木県,さくら市議会,https://ssp.kaigiroku.net/tenant/sakura/SpMinuteSearch.html,kaigiroku_ssp,sakura
栃木県,下野市議会,https://ssp.kaigiroku.net/tenant/shimotsuke/SpMinuteSearch.html,kaigiroku_ssp,shimotsuke
栃木県,益子町議会,https://ssp.kaigiroku.net/tenant/mashiko/MinuteSearch.html,kaigiroku_ssp,mashiko
栃木県,益子町議会,https://ssp.kaigiroku.net/tenant/mashiko/SpMinuteSearch.html,kaigiroku_ssp,mashiko
栃木県,市貝町議会,https://ssp.kaigiroku.net/tenant/ichikai/SpMinuteSearch.html,kaigiroku_ssp,ichikai
栃木県,芳賀町議会,https://ssp.kaigiroku.net/tenant/haga/SpMinuteSearch.html,kaigiroku_ssp,haga
栃木県,壬生町議会,https://ssp.kaigiroku.net/tenant/mibu/SpMinuteSearch.html,kaigiroku_ssp,mibu
栃木県,野木町議会,https://ssp.kaigiroku.net/tenant/nogi/SpMinuteSearch.html,kaigiroku_ssp,nogi
栃木県,塩谷町議会,https://ssp.kaigiroku.net/tenant/shioya/SpMinuteSearch.html,kaigiroku_ssp,shioya
栃木県,高根沢町議会,https://ssp.kaigiroku.net/tenant/takanezawa/SpMinuteSearch.html,kaigiroku_ssp,takanezawa
栃木県,那須町議会,https://ssp.kaigiroku.net/tenant/nasu/MinuteSearch.html,kaigiroku_ssp,nasu
栃木県,那須町議会,https://ssp.kaigiroku.net/tenant/nasu/SpMinuteSearch.html,kaigiroku_ssp,nasu
群馬県,群馬県議会,http://www07.gijiroku.com/voices/g07v_search.asp,gijiroku_com,
群馬県,群馬県議会,http://www07.gijiroku.com/voices2/,gijiroku_com,
群馬県,前橋市議会,http://www.city.maebashi.gunma.dbsr.jp/index.php/,dbsr,
群馬県,高崎市議会,http://takasaki.gijiroku.com/voices/g08v_search.asp,gijiroku_com,
群馬県,高崎市議会,http://takasaki.gijiroku.com/voices2/,gijiroku_com,
群馬県,桐生市議会,https://ssp.kaigiroku.net/tenant/kiryu/MinuteSearch.html,kaigiroku_ssp,kiryu
群馬県,桐生市議会,https://ssp.kaigiroku.net/tenant/kiryu/SpMinuteSearch.html,kaigiroku_ssp,kiryu
群馬県,伊勢崎市議会,http://www.city.isesaki.gunma.dbsr.jp/index.php/,dbsr,
群馬県,太田市議会,http://ota.gijiroku.com/voices/g08v_search.asp,gijiroku_com,
群馬県,太田市議会,http://ota.gijiroku.com/voices2/,gijiroku_com,
群馬県,沼田市議会,https://www.city.numata.gunma.dbsr.jp/index.php/,dbsr,
群馬県,館林市議会,https://ssp.kaigiroku.net/tenant/tatebayashi/MinuteSearch.html,kaigiroku_ssp,tatebayashi
