tenant,keyword,meeting,date,hits_in_meeting,minute_url
sakata,オストメイト,平成３０年　　３月　定例会（第１回）,03月15日－05号,5,https://ssp.kaigiroku.net/tenant/sakata/MinuteView.html?council_id=83&schedule_id=6&is_search=true
murayama,ストーマ,令和　７年　　３月　予算特別委員会,03月10日－04号,1,https://ssp.kaigiroku.net/tenant/murayama/MinuteView.html?council_id=289&schedule_id=5&is_search=true
murayama,オストメイト,令和　７年　　３月　予算特別委員会,03月10日－04号,2,https://ssp.kaigiroku.net/tenant/murayama/MinuteView.html?council_id=289&schedule_id=5&is_search=true
tendo,ストーマ,令和　７年　　９月　決算特別委員会,09月10日－03号,2,https://ssp.kaigiroku.net/tenant/tendo/MinuteView.html?council_id=292&schedule_id=4&is_search=true
shounai,ストーマ,令和　８年　　３月　定例会（第２回）,03月04日－02号,2,https://ssp.kaigiroku.net/tenant/shounai/MinuteView.html?council_id=363&schedule_id=3&is_search=true
shounai,オストメイト,令和　７年　１０月　全員協議会,10月20日－01号,1,https://ssp.kaigiroku.net/tenant/shounai/MinuteView.html?council_id=357&schedule_id=1&is_search=true
shounai,オストメイト,令和　７年　　９月　定例会（第６回）,09月05日－04号,4,
shounai,オストメイト,令和　７年　　３月　予算特別委員会,03月10日－02号,2,
fukushima,ストーマ,令和　２年　１２月　定例会,12月09日－一般質問及び質疑（一般）－04号,1,https://ssp.kaigiroku.net/tenant/fukushima/MinuteView.html?council_id=97&schedule_id=5&is_search=true
fukushima,オストメイト,令和　２年　１２月　定例会,12月09日－一般質問及び質疑（一般）－04号,1,https://ssp.kaigiroku.net/tenant/fukushima/MinuteView.html?council_id=97&schedule_id=5&is_search=true
aizuwakamatsu,ストーマ,平成２９年　１２月　定例会,12月13日－一般質問－04号,1,https://ssp.kaigiroku.net/tenant/aizuwakamatsu/MinuteView.html?council_id=92&schedule_id=5&is_search=true
aizuwakamatsu,ストーマ,平成２９年　１２月　定例会,12月07日－目次,1,
aizuwakamatsu,オストメイト,令和　８年　　２月定例会議,03月04日－一般質問－04号,1,https://ssp.kaigiroku.net/tenant/aizuwakamatsu/MinuteView.html?council_id=205&schedule_id=5&is_search=true
minamisoma,ストーマ,令和　６年　　３月　文教福祉常任委員会,03月12日－01号,1,https://ssp.kaigiroku.net/tenant/minamisoma/MinuteView.html?council_id=402&schedule_id=1&is_search=true
minamisoma,オストメイト,令和　６年　　６月　定例会（第２回）,06月19日－04号,1,https://ssp.kaigiroku.net/tenant/minamisoma/MinuteView.html?council_id=408&schedule_id=5&is_search=true
datecity,ストーマ,平成２０年　　３月　定例会（第１回）,03月11日－04号,1,https://ssp.kaigiroku.net/tenant/datecity/MinuteView.html?council_id=16&schedule_id=5&is_search=true
datecity,オストメイト,令和　６年　　９月　定例会議（第５回）,09月11日－一般質問－03号,2,https://ssp.kaigiroku.net/tenant/datecity/MinuteView.html?council_id=118&schedule_id=4&is_search=true
motomiya,ストーマ,平成１８年　　３月　定例会（第１回）,03月07日－03号,1,https://ssp.kaigiroku.net/tenant/motomiya/MinuteView.html?council_id=80&schedule_id=4&is_search=true
